Matches	Aggr
1	0
2	0
3	0
4	13
5	121
6	121
7	146
8	175
9	196
10	238
11	253
12	287
13	292
14	330
15	352
16	352
17	366
18	466
19	501
20	505
21	543
22	598
23	611
24	633
25	657
26	715
27	724
28	727
29	796
30	796
31	801
32	822
33	822
34	827
35	972
36	978
37	1052
38	1085
39	1092
40	1092
41	1147
42	1166
43	1182
44	1200
45	1267
46	1267
47	1275
48	1322
49	1338
50	1409
51	1486
52	1551
53	1611
54	1699
55	1709
56	1779
57	1825
58	1948
59	2045
60	2060
61	2163
62	2189
63	2286
64	2340
65	2452
66	2509
67	2547
68	2556
69	2601
70	2634
71	2635
72	2668
73	2674
74	2686
75	2731
76	2824
77	2942
78	3032
79	3082
80	3179
81	3179
82	3269
83	3316
84	3323
85	3362
86	3421
87	3433
88	3494
89	3504
90	3588
91	3588
92	3648
93	3666
94	3669
95	3787
96	3809
97	3850
98	3877
99	3886
100	3967
101	3980
102	4011
103	4025
104	4120
105	4144
106	4180
107	4239
108	4308
109	4331
110	4352
111	4361
112	4461
113	4548
114	4605
115	4611
116	4614
117	4678
118	4716
119	4831
120	4850
121	4923
122	4955
123	4977
124	4985
125	5097
126	5142
127	5156
128	5183
129	5184
130	5260
131	5261
132	5316
133	5380
134	5400
135	5428
136	5439
137	5478
138	5489
139	5554
140	5554
141	5594
142	5673
143	5779
144	5927
145	5968
146	6008
147	6035
148	6102
149	6132
150	6154
