Date,Venue,Country,First_Innings,Second_Innings,Cought_out,Result
29/11/91,Brisbane,Australia,16,7,0,Lost
26/12/91,Melbourne,Australia,15,40,2,Lost
02/01/92,Sydney,Australia,148,0,1,Draw
25/01/92,Adelaide,Australia,6,17,1,Lost
01/02/92,Perth,Australia,114,5,1,Lost
10/10/96,Delhi,India,10,0,0,Won
06/03/98,Madras,India,4,155,1,Won
18/03/98,Calcutta,India,79,0,0,Won
25/03/98,Bangalore,India,177,31,1,Lost
10/12/99,Adelaide,Australia,61,0,0,Lost
26/12/99,Melbourne,Australia,116,52,0,Lost
02/01/00,Sydney,Australia,45,4,0,Lost
27/02/01,Bombay,India,76,65,1,Lost
11/03/01,Calcutta,India,10,10,0,Won
18/03/01,Madras,India,126,17,0,Won
04/12/03,Brisbane,Australia,0,0,0,Draw
12/12/03,Adelaide,Australia,1,37,0,Won
26/12/03,Melbourne,Australia,0,44,1,Lost
02/01/04,Sydney,Australia,241,60,1,Draw
26/10/04,Nagpur,India,8,2,0,Lost
03/11/04,Bombay,India,5,55,1,Won
26/12/07,Melbourne,Australia,62,15,2,Lost
02/01/08,Sydney,Australia,154,12,3,Lost
16/01/08,Perth,Australia,71,13,0,Won
24/01/08,Adelaide,Australia,153,13,0,Draw
09/10/08,Bangalore,India,13,49,0,Draw
17/10/08,Mohali,India,88,10,1,Won
29/10/08,Delhi,India,68,47,1,Draw
06/11/08,Nagpur,India,109,12,1,Won
01/10/10,Mohali,India,98,38,0,Won
09/10/10,Bangalore,India,214,53,0,Won
26/12/11,Melbourne,Australia,73,32,0,Lost
03/01/12,Sydney,Australia,41,80,2,Lost
13/01/12,Perth,Australia,15,8,0,Lost
24/01/12,Adelaide,Australia,25,13,1,Lost
22/02/13 ,Chennai,India,81,13,1,won
02/03/13,Hyderabad,India,7,0,0,won
14/03/13,Mohali,India,37,21,0,won
22/03/13,Delhi,India,32,1,0,won
