Player_name,Teams,Starting_year,final_year,span,Matches,Inns,NO,Runs,Highest_score,Average,Balls_faced,Strike_rate,centuries,half_centuries,conversion_rate,zeros,fours,sixes
SR Tendulkar ,INDIA,1989,2012,23,463,452,41,18426,200,44.83,21367,86.23,49,96,51.0416666666667,20,2016,195
KC Sangakkara ,SL,2000,2015,15,404,380,41,14234,169,41.98,18048,78.86,25,93,26.8817204301075,15,1385,88
RT Ponting ,AUS,1995,2012,17,375,365,39,13704,164,42.03,17046,80.39,30,82,36.5853658536585,20,1231,162
ST Jayasuriya ,SL,1989,2011,22,445,433,18,13430,189,32.36,14725,91.2,28,68,41.1764705882353,34,1500,270
DPMD Jayawardene ,SL,1998,2015,17,448,418,39,12650,144,33.37,16020,78.96,19,77,24.6753246753247,28,1119,76
Inzamam-ul-Haq ,PAK,1991,2007,16,378,350,53,11739,137,39.52,15812,74.24,10,83,12.0481927710843,20,971,144
JH Kallis ,SA,1996,2014,18,328,314,53,11579,139,44.36,15885,72.89,17,86,19.7674418604651,17,911,137
SC Ganguly ,INDIA,1992,2007,15,311,300,23,11363,183,41.02,15416,73.7,22,72,30.5555555555556,16,1122,190
V Kohli ,INDIA,2008,2019,11,231,223,37,11087,183,59.6,11903,93.14,41,52,78.8461538461538,12,1036,118
R Dravid ,INDIA,1996,2011,15,344,318,40,10889,153,39.16,15284,71.24,12,83,14.4578313253012,13,950,42
MS Dhoni ,INDIA,2004,2019,15,345,293,82,10590,183,50.18,12106,87.47,10,71,14.0845070422535,10,814,225
BC Lara ,WI,1990,2007,17,299,289,32,10405,169,40.48,13086,79.51,19,63,30.1587301587302,16,1035,133
CH Gayle ,WI,1999,2019,20,295,288,17,10345,215,38.17,11838,87.38,25,53,47.1698113207547,25,1116,324
TM Dilshan ,SL,1999,2016,17,330,303,41,10290,161,39.27,11933,86.23,22,47,46.8085106382979,11,1111,55
Mohammad Yousuf ,PAK,1998,2010,12,288,273,40,9720,141,41.71,12942,75.1,15,64,23.4375,15,785,90
AC Gilchrist ,AUS,1996,2008,12,287,279,11,9619,172,35.89,9922,96.94,16,55,29.0909090909091,19,1162,149
AB de Villiers ,SA,2005,2018,13,228,218,39,9577,176,53.5,9473,101.09,25,53,47.1698113207547,7,840,204
M Azharuddin ,INDIA,1985,2000,15,334,308,54,9378,153,36.92,12669,74.02,7,58,12.0689655172414,9,622,77
PA de Silva ,SL,1984,2003,19,308,296,30,9284,145,34.9,11443,81.13,11,64,17.1875,17,712,102
Saeed Anwar ,PAK,1989,2003,14,247,244,19,8824,194,39.21,10938,80.67,20,43,46.5116279069767,15,938,97
S Chanderpaul ,WI,1994,2011,17,268,251,40,8778,150,41.6,12408,70.74,11,59,18.6440677966102,6,722,85
Yuvraj Singh ,INDIA,2000,2017,17,304,278,40,8701,150,36.55,9924,87.67,14,52,26.9230769230769,18,908,155
DL Haynes ,WI,1978,1994,16,238,237,28,8648,152,41.37,13707,63.09,17,57,29.8245614035088,13,768,53
MS Atapattu ,SL,1990,2007,17,268,259,32,8529,132,37.57,12594,67.72,11,59,18.6440677966102,13,734,15
ME Waugh ,AUS,1988,2002,14,244,236,20,8500,173,39.35,11053,76.9,18,50,36,16,651,57
RG Sharma ,INDIA,2007,2019,12,210,204,32,8330,264,48.43,9444,88.2,24,42,57.1428571428571,13,729,224
V Sehwag ,INDIA,1999,2013,14,251,245,9,8273,219,35.05,7929,104.33,15,38,39.4736842105263,14,1132,136
LRPL Taylor ,NZ,2006,2019,13,223,207,37,8226,181,48.38,9866,83.37,20,49,40.8163265306122,9,687,139
HH Gibbs ,SA,1996,2010,14,248,240,16,8094,175,36.13,9721,83.26,21,37,56.7567567567568,22,930,128
Shahid Afridi ,PAK,1996,2015,19,398,369,27,8064,124,23.57,6892,117,6,39,15.3846153846154,30,730,351
SP Fleming ,NZ,1994,2007,13,280,269,21,8037,134,32.4,11242,71.49,8,49,16.3265306122449,17,823,63
HM Amla ,SA,2008,2019,11,180*,177,13,8033,159,48.98,9073,88.53,27,38,71.0526315789474,4,817,53
MJ Clarke ,AUS,2003,2015,12,245,223,44,7981,130,44.58,10104,78.98,8,58,13.7931034482759,10,665,53
SR Waugh ,AUS,1986,2002,16,325,288,58,7569,120,32.9,9971,75.91,3,45,6.66666666666667,15,530,68
Shoaib Malik ,PAK,1999,2019,20,287,258,40,7534,143,34.55,9199,81.9,9,44,20.4545454545455,15,603,113
A Ranatunga ,SL,1982,1999,17,269,255,47,7456,131,35.84,9571,77.9,4,49,8.16326530612245,18,523,64
Javed Miandad ,PAK,1975,1996,21,233,218,41,7381,119,41.7,11014,67.01,8,50,16,8,445,44
Younis Khan ,PAK,2000,2015,15,265,255,23,7249,144,31.24,9628,75.29,7,48,14.5833333333333,22,578,56
EJG Morgan ,ENGIRE,2006,2019,13,228,212,31,7247,148,40.03,7936,91.31,13,46,28.2608695652174,15,598,211
Saleem Malik ,PAK,1982,1999,17,283,256,38,7170,102,32.88,9383,76.41,5,47,10.6382978723404,19,514,34
NJ Astle ,NZ,1995,2007,12,223,217,14,7090,145,34.92,9760,72.64,16,41,39.0243902439024,19,720,86
GC Smith ,SA,2002,2013,11,197,194,10,6989,141,37.98,8648,80.81,10,47,21.2765957446808,8,788,44
WU Tharanga ,SL,2005,2019,14,235,223,17,6951,174,33.74,9155,75.92,15,37,40.5405405405405,17,798,52
MG Bevan ,AUS,1994,2004,10,232,196,67,6912,108,53.58,9320,74.16,6,46,13.0434782608696,5,450,21
Tamim Iqbal ,BDESH,2007,2019,12,198,196,8,6805,154,36.19,8718,78.05,11,47,23.4042553191489,17,745,82
G Kirsten ,SA,1993,2003,10,185,185,19,6798,188,40.95,9436,72.04,13,45,28.8888888888889,11,659,20
A Flower ,ZIM,1992,2003,11,213,208,16,6786,145,35.34,9097,74.59,4,55,7.27272727272727,13,532,26
IVA Richards ,WI,1975,1991,16,187,167,24,6721,189,47,7451,90.2,11,45,24.4444444444444,7,600,126
MJ Guptill ,NZ,2009,2019,10,174,171,19,6573,237,43.24,7491,87.74,16,35,45.7142857142857,15,672,167
GW Flower ,ZIM,1992,2010,18,221,214,18,6571,142,33.52,9723,67.58,6,40,15,18,557,37
Ijaz Ahmed ,PAK,1986,2000,14,250,232,29,6564,139,32.33,8174,80.3,10,37,27.027027027027,14,531,87
Mohammad Hafeez ,PAK,2003,2019,16,215*,213,15,6536,140,33.01,8523,76.68,11,38,28.9473684210526,19,655,110
AR Border ,AUS,1979,1994,15,273,252,39,6524,127,30.62,9134,71.42,3,39,7.69230769230769,11,500,43
BRM Taylor ,ZIM,2004,2019,15,190,189,15,6278,145,36.08,8219,76.38,10,38,26.3157894736842,14,550,99
RB Richardson ,WI,1983,1996,13,224,217,30,6248,122,33.41,9801,63.74,5,44,11.3636363636364,8,541,54
Shakib Al Hasan ,BDESH,2006,2019,13,203,191,27,6142,134,37.45,7421,82.76,9,44,20.4545454545455,10,561,42
ML Hayden ,AUS,1993,2008,15,161,155,15,6133,181,43.8,7767,78.96,10,36,27.7777777777778,9,636,87
BB McCullum ,NZ,2002,2016,14,260,228,28,6083,166,30.41,6312,96.37,5,32,15.625,20,577,200
DM Jones ,AUS,1984,1994,10,164,161,25,6068,145,44.61,8362,72.56,7,46,15.2173913043478,6,380,64
DC Boon ,AUS,1984,1995,11,181,177,16,5964,122,37.04,9157,65.13,5,37,13.5135135135135,6,494,16
JN Rhodes ,SA,1992,2003,11,245,220,51,5935,121,35.11,7336,80.9,2,33,6.06060606060606,12,392,47
KS Williamson ,NZ,2010,2019,9,144,137,14,5927,148,48.18,7186,82.47,13,38,34.2105263157895,5,542,48
Rameez Raja ,PAK,1985,1997,12,198,197,15,5841,119,32.09,9226,63.31,9,31,29.0322580645161,15,469,14
RR Sarwan ,WI,2000,2013,13,181,169,33,5804,120,42.67,7663,75.74,5,38,13.1578947368421,8,480,58
Mushfiqur Rahim ,BDESH,2006,2019,13,210,196,33,5802,144,35.59,7378,78.63,7,34,20.5882352941176,10,465,80
CL Hooper ,WI,1987,2003,16,227,206,43,5761,113,35.34,7517,76.63,7,29,24.1379310344828,7,409,65
SR Watson ,AUS,2002,2015,13,190,169,27,5757,185,40.54,6365,90.44,9,33,27.2727272727273,12,570,131
JE Root ,ENG,2013,2019,6,138,130,20,5724,133,52.03,6538,87.54,16,33,48.4848484848485,4,462,43
H Masakadza ,ZIM,2001,2019,18,206,205,4,5616,178,27.94,7654,73.37,5,34,14.7058823529412,15,578,86
SK Raina ,INDIA,2005,2018,13,226,194,35,5615,116,35.31,6005,93.5,5,36,13.8888888888889,14,476,120
MN Samuels ,WI,2000,2018,18,207,196,26,5606,133,32.97,7463,75.11,10,30,33.3333333333333,11,526,118
WJ Cronje ,SA,1992,2000,8,188,175,31,5565,112,38.64,7277,76.47,2,39,5.12820512820513,8,366,94
S Dhawan ,INDIA,2010,2019,9,130,129,7,5480,143,44.91,5830,93.99,17,27,62.962962962963,5,683,67
AD Mathews ,SL,2008,2019,11,208,178,47,5475,139,41.79,6598,82.97,2,38,5.26315789473684,15,428,85
MEK Hussey ,AUS,2004,2012,8,185,157,44,5442,109,48.15,6243,87.16,3,39,7.69230769230769,3,383,80
IR Bell ,ENG,2004,2015,11,161,157,14,5416,141,37.87,7019,77.16,4,35,11.4285714285714,6,525,32
A Jadeja ,INDIA,1992,2000,8,196,179,36,5359,119,37.47,7677,69.8,6,30,20,10,366,85
DR Martyn ,AUS,1992,2006,14,208,182,51,5346,144,40.8,6877,77.73,5,37,13.5135135135135,10,441,22
F du Plessis ,SA,2011,2019,8,141*,134,20,5254,185,46.08,5946,88.36,11,33,33.3333333333333,3,473,63
G Gambhir ,INDIA,2003,2013,10,147,143,11,5238,150,39.68,6144,85.25,11,34,32.3529411764706,11,561,17
ADR Campbell ,ZIM,1992,2003,11,188,184,14,5185,131,30.5,7834,66.18,7,30,23.3333333333333,11,427,44
RS Mahanama ,SL,1986,1999,13,213,198,23,5162,119,29.49,8521,60.57,4,35,11.4285714285714,15,331,17
CG Greenidge ,WI,1975,1991,16,128,127,13,5134,133,45.03,7908,64.92,11,31,35.4838709677419,3,470,81
Misbah-ul-Haq ,PAK,2002,2015,13,162,149,31,5122,96,43.4,6945,73.75,0,42,0,6,342,83
JP Duminy ,SA,2004,2019,15,197,178,40,5103,150,36.97,6039,84.5,4,27,14.8148148148148,7,346,75
PD Collingwood ,ENG,2001,2011,10,197,181,37,5092,120,35.36,6614,76.98,5,26,19.2307692307692,7,365,74
A Symonds ,AUS,1998,2009,11,198,161,33,5088,156,39.75,5504,92.44,6,30,20,15,449,103
Abdul Razzaq ,PAK,1996,2011,15,265,228,57,5080,112,29.7,6252,81.25,3,23,13.0434782608696,14,382,124
